"C:\Users\korna\Documents\Учёба\Проектная практика\TrackingOptimization\venv\Scripts\python.exe" "C:/Users/korna/Documents/Учёба/Проектная практика/TrackingOptimization/main.py"
OpenCV v4.1.0

|   iter    |  target   | maxLevel  | maxMed... | points... | termCr... | termCr... |  winSize  | winSiz... |
|  146      |  0.4984   |  3.676    |  9.423    |  11.64    |  0.2059   |  49.68    |  90.24    |  48.8     |
|  147      |  0.5166   |  2.962    |  13.36    |  7.251    |  0.4494   |  45.31    |  83.95    |  40.03    |
|  148      |  0.4968   |  4.992    |  7.989    |  9.495    |  0.5188   |  49.65    |  85.21    |  47.06    |
|  149      |  0.4755   |  5.289    |  8.601    |  9.3      |  0.5649   |  45.56    |  89.55    |  43.86    |
|  150      |  0.4947   |  2.894    |  8.07     |  10.02    |  0.1599   |  48.52    |  84.18    |  39.14    |
|  151      |  0.5112   |  4.535    |  10.82    |  9.847    |  0.398    |  48.01    |  78.84    |  40.4     |
|  152      |  0.4915   |  6.044    |  12.55    |  5.596    |  0.5579   |  44.39    |  81.37    |  47.81    |
|  153      |  0.5017   |  2.726    |  9.796    |  16.21    |  0.4802   |  46.39    |  85.52    |  44.38    |
|  154      |  0.4958   |  4.204    |  10.64    |  11.09    |  0.5159   |  49.29    |  85.06    |  42.33    |
|  155      |  0.5086   |  4.293    |  13.56    |  8.781    |  0.3251   |  46.62    |  84.73    |  39.64    |
|  156      |  0.5134   |  4.153    |  6.285    |  10.58    |  0.4703   |  49.94    |  89.03    |  46.84    |
|  157      |  0.5036   |  2.052    |  10.6     |  5.497    |  0.5191   |  45.01    |  85.03    |  39.9     |
|  158      |  0.5075   |  2.621    |  11.84    |  7.442    |  0.4912   |  46.02    |  80.27    |  46.9     |
|  159      |  0.5023   |  5.886    |  15.58    |  6.138    |  0.3054   |  44.32    |  83.69    |  40.94    |
|  160      |  0.4919   |  3.976    |  12.71    |  5.416    |  0.2216   |  46.6     |  82.91    |  45.91    |
|  161      |  0.5      |  3.642    |  14.91    |  6.681    |  0.5754   |  45.62    |  85.13    |  42.68    |
|  162      |  0.4882   |  3.087    |  12.06    |  6.729    |  0.1883   |  48.0     |  82.1     |  40.65    |
|  163      |  0.5085   |  5.706    |  7.348    |  7.172    |  0.3693   |  49.72    |  89.69    |  44.99    |
|  164      |  0.4994   |  3.841    |  17.76    |  10.33    |  0.2055   |  43.39    |  83.11    |  49.34    |
|  165      |  0.4911   |  2.109    |  11.32    |  6.231    |  0.1633   |  49.31    |  81.13    |  41.46    |
|  166      |  0.5076   |  3.738    |  9.404    |  12.91    |  0.4383   |  49.49    |  88.5     |  48.96    |
|  167      |  0.4846   |  3.335    |  7.868    |  12.41    |  0.57     |  48.57    |  88.08    |  48.27    |
|  168      |  0.5051   |  5.964    |  7.18     |  6.876    |  0.3467   |  46.5     |  85.09    |  43.59    |
|  169      |  0.5067   |  2.588    |  9.159    |  7.26     |  0.3427   |  42.82    |  84.73    |  38.62    |
|  170      |  0.5077   |  3.029    |  11.59    |  8.868    |  0.4777   |  48.21    |  80.94    |  44.04    |
|  171      |  0.4931   |  3.186    |  9.035    |  8.921    |  0.5523   |  44.2     |  84.12    |  40.77    |
|  172      |  0.4946   |  4.291    |  13.49    |  6.691    |  0.248    |  44.36    |  78.41    |  46.07    |
|  173      |  0.4812   |  3.953    |  7.877    |  16.39    |  0.4348   |  45.09    |  84.46    |  44.56    |
|  174      |  0.4961   |  3.105    |  12.72    |  5.242    |  0.1744   |  48.21    |  80.68    |  46.48    |
|  175      |  0.4884   |  3.199    |  12.41    |  6.329    |  0.2577   |  45.8     |  82.98    |  47.4     |
|  176      |  0.4881   |  2.812    |  8.17     |  6.501    |  0.5408   |  47.84    |  82.36    |  44.1     |
|  177      |  0.5117   |  5.89     |  8.785    |  7.501    |  0.312    |  48.13    |  81.83    |  42.13    |
|  178      |  0.4927   |  4.303    |  11.47    |  5.498    |  0.2509   |  44.39    |  82.75    |  45.42    |
|  179      |  0.5093   |  2.409    |  7.805    |  7.374    |  0.3317   |  42.67    |  84.07    |  43.73    |
|  180      |  0.4903   |  3.616    |  11.64    |  5.374    |  0.4928   |  45.81    |  81.91    |  41.6     |
|  181      |  0.5118   |  5.547    |  11.23    |  19.76    |  0.5894   |  49.17    |  45.69    |  85.45    |
|  182      |  0.4996   |  5.393    |  13.35    |  12.66    |  0.5002   |  29.45    |  11.1     |  50.66    |
|  183      |  0.5153   |  8.377    |  11.77    |  17.83    |  0.5111   |  35.98    |  49.58    |  54.52    |
|  184      |  0.5089   |  5.171    |  9.106    |  6.911    |  0.5164   |  45.58    |  89.22    |  40.57    |
|  185      |  0.4976   |  5.785    |  6.388    |  7.715    |  0.5309   |  49.4     |  91.81    |  44.44    |
|  186      |  0.49     |  9.197    |  10.49    |  11.32    |  0.2273   |  16.33    |  46.9     |  94.15    |
|  187      |  0.5047   |  6.513    |  9.786    |  7.566    |  0.4943   |  45.64    |  87.98    |  41.06    |
|  188      |  0.5053   |  3.326    |  11.94    |  6.795    |  0.4956   |  46.53    |  82.04    |  44.6     |
|  189      |  0.5109   |  7.609    |  11.97    |  19.34    |  0.2793   |  34.7     |  48.47    |  55.24    |
|  190      |  0.4211   |  8.74     |  13.94    |  16.39    |  0.427    |  30.31    |  78.04    |  18.94    |
|  191      |  0.5174   |  3.772    |  10.57    |  6.863    |  0.3651   |  48.75    |  88.42    |  47.62    |
|  192      |  0.4978   |  2.987    |  10.68    |  5.118    |  0.1617   |  47.42    |  79.57    |  45.5     |
|  193      |  0.5049   |  8.304    |  11.41    |  17.03    |  0.3752   |  35.57    |  46.95    |  56.72    |
|  194      |  0.4881   |  2.536    |  12.16    |  8.925    |  0.5686   |  49.71    |  89.84    |  45.79    |
|  195      |  0.503    |  2.402    |  5.662    |  9.253    |  0.3934   |  45.22    |  82.24    |  43.09    |
|  196      |  0.5042   |  2.043    |  12.77    |  7.877    |  0.2705   |  41.63    |  82.06    |  44.75    |
|  197      |  0.4926   |  4.607    |  12.36    |  8.848    |  0.2341   |  48.26    |  77.37    |  40.25    |
|  198      |  0.4943   |  4.527    |  10.95    |  8.781    |  0.4029   |  49.19    |  78.93    |  44.82    |
|  199      |  0.5026   |  7.348    |  5.853    |  13.7     |  0.5502   |  49.63    |  85.68    |  39.49    |
|  200      |  0.5055   |  3.525    |  14.71    |  6.324    |  0.4332   |  42.45    |  82.68    |  43.6     |
|  201      |  0.5066   |  3.264    |  13.55    |  10.09    |  0.4159   |  44.96    |  84.12    |  46.19    |
|  202      |  0.4945   |  2.316    |  17.21    |  8.774    |  0.1889   |  45.87    |  82.18    |  48.5     |
|  203      |  0.5038   |  4.859    |  9.501    |  5.768    |  0.4111   |  47.5     |  83.95    |  39.98    |
|  204      |  0.499    |  7.298    |  8.362    |  12.98    |  0.1842   |  48.69    |  85.95    |  39.52    |
|  205      |  0.5097   |  8.364    |  11.86    |  19.84    |  0.3019   |  34.61    |  49.48    |  56.17    |
|  206      |  0.5145   |  3.239    |  14.73    |  8.203    |  0.2415   |  47.16    |  81.97    |  46.53    |
|  207      |  0.5107   |  3.196    |  14.33    |  6.419    |  0.4482   |  48.96    |  87.85    |  47.48    |
|  208      |  0.5078   |  5.238    |  9.486    |  6.202    |  0.4484   |  47.71    |  80.59    |  41.09    |
|  209      |  0.4802   |  3.542    |  13.28    |  7.765    |  0.5819   |  47.02    |  82.09    |  46.04    |
|  210      |  0.498    |  4.696    |  8.705    |  8.048    |  0.4674   |  43.26    |  85.43    |  37.84    |
|  211      |  0.5044   |  4.476    |  13.3     |  9.599    |  0.3605   |  39.0     |  40.66    |  74.48    |
|  212      |  0.4719   |  9.859    |  9.918    |  9.772    |  0.5407   |  41.37    |  99.42    |  24.15    |
|  213      |  0.5102   |  4.81     |  12.72    |  19.23    |  0.5064   |  49.39    |  47.25    |  85.92    |
|  214      |  0.4922   |  9.732    |  9.079    |  6.444    |  0.1823   |  26.03    |  95.22    |  88.11    |
|  215      |  0.4827   |  3.257    |  12.26    |  6.124    |  0.4127   |  49.29    |  93.93    |  47.6     |
|  216      |  0.4998   |  9.755    |  10.15    |  10.38    |  0.1668   |  28.73    |  81.94    |  45.92    |
|  217      |  0.4913   |  4.823    |  17.53    |  16.74    |  0.202    |  26.87    |  15.4     |  20.3     |
|  218      |  0.503    |  5.296    |  8.998    |  7.278    |  0.3154   |  46.97    |  84.73    |  42.41    |
|  219      |  0.5073   |  2.195    |  11.43    |  6.002    |  0.5368   |  16.67    |  61.81    |  30.83    |
|  220      |  0.5164   |  9.432    |  12.51    |  19.4     |  0.3759   |  34.77    |  47.45    |  54.75    |
|  221      |  0.4942   |  6.379    |  5.538    |  8.228    |  0.5345   |  48.72    |  85.31    |  45.37    |
|  222      |  0.51     |  2.938    |  10.84    |  7.79     |  0.3084   |  48.06    |  80.75    |  47.03    |
